
# QPROP Version 1.22
# 
# APC 5x4E X-Prop                                                                 
# 
# T-motor F40                                                                     
#   0.82000E-01  Rmotor (Ohms)                  
#   0.70000      Io     (Amps)                  
#    1600.0      Kv     (rpm/Volt)              
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    5.000  0.3150E+05  0.000   22.47      0.2542       838.6      23.238   43.2958   0.8335   0.1340   0.02387  0.6600E-01  0.1176E-01  49.0428   0.1117   1006.       112.3       1.0333  0.1987E-01
    7.000  0.3150E+05  0.000   21.86      0.2522       831.8      23.209   42.9488   0.8344   0.1840   0.03342  0.6422E-01  0.1166E-01  46.5434   0.1535   996.8       153.0       1.0017  0.1898E-01
    9.000  0.3150E+05  0.000   21.22      0.2495       823.2      23.173   42.5110   0.8356   0.2320   0.04297  0.6234E-01  0.1154E-01  44.0680   0.1939   985.1       191.0       0.9684  0.1826E-01
   11.000  0.3150E+05  0.000   20.54      0.2462       812.2      23.128   41.9561   0.8370   0.2782   0.05251  0.6033E-01  0.1139E-01  41.6135   0.2328   970.4       225.9       0.9330  0.1758E-01
   13.000  0.3150E+05  0.000   19.82      0.2424       799.5      23.075   41.3085   0.8387   0.3222   0.06206  0.5821E-01  0.1121E-01  39.1817   0.2703   953.2       257.6       0.8959  0.1721E-01
   15.000  0.3150E+05  0.000   19.07      0.2381       785.4      23.016   40.5925   0.8406   0.3642   0.07161  0.5602E-01  0.1101E-01  36.7963   0.3062   934.3       286.1       0.8580  0.1699E-01
   17.000  0.3150E+05  0.000   18.30      0.2334       769.7      22.951   39.7984   0.8427   0.4043   0.08116  0.5377E-01  0.1079E-01  34.4606   0.3407   913.4       311.2       0.8195  0.1679E-01
   19.000  0.3150E+05  0.000   17.52      0.2281       752.5      22.879   38.9217   0.8450   0.4423   0.09071  0.5146E-01  0.1055E-01  32.1751   0.3738   890.5       332.9       0.7803  0.1662E-01
   21.000  0.3150E+05  0.000   16.71      0.2224       733.5      22.800   37.9580   0.8476   0.4785   0.10026  0.4909E-01  0.1029E-01  29.9402   0.4055   865.4       351.0       0.7405  0.1647E-01

    1.000  0.3200E+05  0.000   24.35      0.2657       890.5      23.708   45.2254   0.8305   0.0273   0.00470  0.6930E-01  0.1191E-01  55.0259   0.0227   1072.       24.35       1.0925  0.2242E-01
    3.000  0.3200E+05  0.000   23.82      0.2647       887.2      23.695   45.0582   0.8310   0.0806   0.01410  0.6781E-01  0.1187E-01  52.4936   0.0669   1068.       71.47       1.0657  0.2109E-01
    5.000  0.3200E+05  0.000   23.26      0.2630       881.4      23.671   44.7713   0.8317   0.1319   0.02350  0.6620E-01  0.1179E-01  49.9780   0.1097   1060.       116.3       1.0367  0.1972E-01
    7.000  0.3200E+05  0.000   22.65      0.2609       874.4      23.642   44.4201   0.8326   0.1813   0.03290  0.6446E-01  0.1170E-01  47.4765   0.1509   1050.       158.5       1.0056  0.1883E-01
    9.000  0.3200E+05  0.000   22.00      0.2583       865.6      23.606   43.9779   0.8338   0.2287   0.04230  0.6261E-01  0.1158E-01  44.9983   0.1907   1038.       198.0       0.9729  0.1811E-01
   11.000  0.3200E+05  0.000   21.30      0.2550       854.4      23.560   43.4204   0.8352   0.2743   0.05169  0.6064E-01  0.1143E-01  42.5417   0.2291   1023.       234.3       0.9382  0.1743E-01
   13.000  0.3200E+05  0.000   20.57      0.2511       841.4      23.507   42.7680   0.8369   0.3178   0.06109  0.5855E-01  0.1125E-01  40.1054   0.2660   1005.       267.4       0.9016  0.1706E-01
   15.000  0.3200E+05  0.000   19.81      0.2468       826.9      23.448   42.0455   0.8388   0.3594   0.07049  0.5640E-01  0.1106E-01  37.7133   0.3015   985.9       297.2       0.8644  0.1684E-01
   17.000  0.3200E+05  0.000   19.04      0.2420       810.9      23.382   41.2451   0.8408   0.3991   0.07989  0.5419E-01  0.1085E-01  35.3699   0.3356   964.4       323.6       0.8264  0.1664E-01
   19.000  0.3200E+05  0.000   18.24      0.2367       793.3      23.310   40.3625   0.8431   0.4369   0.08929  0.5192E-01  0.1061E-01  33.0757   0.3684   940.8       346.6       0.7879  0.1646E-01
   21.000  0.3200E+05  0.000   17.42      0.2309       773.9      23.230   39.3935   0.8456   0.4728   0.09869  0.4959E-01  0.1035E-01  30.8313   0.3998   915.1       365.9       0.7487  0.1631E-01

    1.000  0.3250E+05  0.000   25.17      0.2750       936.0      24.149   46.7818   0.8286   0.0269   0.00463  0.6945E-01  0.1195E-01  55.9611   0.0223   1130.       25.17       1.0951  0.2260E-01
    3.000  0.3250E+05  0.000   24.64      0.2738       931.7      24.131   46.5696   0.8291   0.0793   0.01388  0.6799E-01  0.1190E-01  53.4323   0.0658   1124.       73.92       1.0687  0.2094E-01
    5.000  0.3250E+05  0.000   24.07      0.2720       925.8      24.107   46.2801   0.8298   0.1300   0.02314  0.6641E-01  0.1182E-01  50.9165   0.1079   1116.       120.3       1.0401  0.1956E-01
    7.000  0.3250E+05  0.000   23.44      0.2699       918.6      24.078   45.9246   0.8307   0.1786   0.03239  0.6469E-01  0.1173E-01  48.4131   0.1484   1106.       164.1       1.0096  0.1868E-01
    9.000  0.3250E+05  0.000   22.78      0.2672       909.5      24.042   45.4778   0.8319   0.2255   0.04164  0.6287E-01  0.1161E-01  45.9322   0.1876   1093.       205.1       0.9773  0.1797E-01
   11.000  0.3250E+05  0.000   22.08      0.2639       898.2      23.996   44.9177   0.8333   0.2705   0.05090  0.6094E-01  0.1147E-01  43.4735   0.2254   1078.       242.9       0.9433  0.1727E-01
